transaction date,transaction number,product type,product scent,product size,cash or card,loyalty number,customer name,loyalty tier,loyalty discount,quantity,sales before discount,sales after discount,profit
2023-01-01,,,,,,,,,0.0,,,,
2023-01-02,,,,,,,,,0.0,,,,
2023-01-03,30123001.0,Liquid,Sandalwood Spice,0.25L,Cash,1005245.0,Laurens Squibbs,Bronze,0.05,2.0,8.5,8.07,3.17
2023-01-03,30123001.0,Liquid,Vanilla Bean,0.5L,Cash,1005245.0,Laurens Squibbs,Bronze,0.05,2.0,14.7,13.96,2.02
2023-01-03,30123002.0,Liquid,Sandalwood Spice,1L,Card,1007270.0,Cary Breckon,Bronze,0.05,1.0,13.19,12.53,2.86
2023-01-03,30123003.0,Liquid,Eucalyptus Mint,0.25L,Cash,1009750.0,Orv Drewitt,Bronze,0.05,2.0,9.0,8.55,4.01
2023-01-03,30123003.0,Liquid,Eucalyptus Mint,1L,Cash,1009750.0,Orv Drewitt,Bronze,0.05,3.0000000000000004,39.81,37.82,10.94
2023-01-03,30123004.0,Bar,Vanilla Bean,2x,Card,,,,0.0,2.0,13.72,13.72,4.22
2023-01-03,30123004.0,Liquid,Rose Garden,1L,Card,,,,0.0,4.0,47.4,47.4,18.0
2023-01-03,30123005.0,Liquid,Coconut Dream,0.25L,Cash,1007723.0,Mariel Geistbeck,Silver,0.1,4.0,9.52,8.57,1.65
2023-01-03,30123005.0,Liquid,Rose Garden,1L,Cash,1007723.0,Mariel Geistbeck,Silver,0.1,4.0,47.4,42.66,13.26
2023-01-03,30123006.0,Bar,Ocean Mist,1x,Cash,,,,0.0,5.0,6.0,6.0,2.7
2023-01-03,30123007.0,Bar,Citrus Breeze,1x,Card,,,,0.0,3.0,2.43,2.43,0.18
2023-01-03,30123007.0,Bar,Citrus Breeze,1x,Card,,,,0.0,4.999999999999999,4.05,4.05,0.3
2023-01-03,30123008.0,Bar,Rose Garden,2x,Cash,1009898.0,Kimbra Fairfoull,Bronze,0.05,3.0,9.51,9.03,0.18
2023-01-03,30123008.0,Liquid,Citrus Breeze,0.25L,Cash,1009898.0,Kimbra Fairfoull,Bronze,0.05,3.0,4.38,4.16,1.46
2023-01-03,30123008.0,Liquid,Ocean Mist,0.5L,Cash,1009898.0,Kimbra Fairfoull,Bronze,0.05,3.0,8.73,8.29,3.55
2023-01-03,30123009.0,Bar,Fresh Rain,1x,Cash,1007130.0,Ilka Cansdill,Gold,0.15,3.0,4.83,4.11,1.29
2023-01-03,30123009.0,Bar,Eucalyptus Mint,4x,Cash,1007130.0,Ilka Cansdill,Gold,0.15,1.0,8.3,7.06,0.26
2023-01-03,30123010.0,Bar,Rose Garden,4x,Card,,,,0.0,4.0,33.48,33.48,11.16
2023-01-03,30123011.0,Liquid,Fresh Rain,0.25L,Card,1004303.0,Mildred Robbel,Bronze,0.05,3.0,4.29,4.08,0.69
2023-01-03,30123011.0,Liquid,Rose Garden,0.5L,Card,1004303.0,Mildred Robbel,Bronze,0.05,5.0,35.25,33.49,14.99
2023-01-03,30123011.0,Liquid,Eucalyptus Mint,1L,Card,1004303.0,Mildred Robbel,Bronze,0.05,4.0,53.08,50.43,14.59
2023-01-03,30123012.0,Bar,Rose Garden,1x,Cash,,,,0.0,4.0,9.8,9.8,3.6
2023-01-03,30123013.0,Bar,Eucalyptus Mint,2x,Cash,1005303.0,Margaret Domange,Bronze,0.05,4.0,24.92,23.67,9.31
2023-01-03,30123013.0,Bar,Coconut Dream,4x,Cash,1005303.0,Margaret Domange,Bronze,0.05,1.0,9.63,9.15,3.97
2023-01-03,30123014.0,Bar,Fresh Rain,1x,Cash,1003713.0,Giulio Mingo,Silver,0.1,1.0,1.61,1.45,0.51
2023-01-03,30123014.0,Bar,Rose Garden,4x,Cash,1003713.0,Giulio Mingo,Silver,0.1,1.0,8.37,7.53,1.95
2023-01-03,30123015.0,Liquid,Coconut Dream,1L,Card,,,,0.0,4.0,30.0,30.0,2.68
2023-01-03,30123016.0,Bar,Rose Garden,1x,Cash,,,,0.0,2.9999999999999996,7.35,7.35,2.7
2023-01-03,30123016.0,Liquid,Vanilla Bean,0.25L,Cash,,,,0.0,4.0,18.44,18.44,6.44
2023-01-03,30123017.0,Bar,Vanilla Bean,1x,Card,1005259.0,Ingrid Linbohm,Bronze,0.05,3.0,10.92,10.37,2.87
2023-01-03,30123017.0,Bar,Sandalwood Spice,2x,Card,1005259.0,Ingrid Linbohm,Bronze,0.05,3.0,22.71,21.57,9.93
2023-01-03,30123018.0,Bar,Eucalyptus Mint,1x,Cash,,,,0.0,4.0,13.96,13.96,6.4
2023-01-03,30123018.0,Bar,Fresh Rain,4x,Cash,,,,0.0,1.0,4.28,4.28,0.9
2023-01-03,30123018.0,Liquid,Sandalwood Spice,0.5L,Cash,,,,0.0,1.0,9.56,9.56,4.69
2023-01-03,30123019.0,Bar,Sandalwood Spice,2x,Card,1009769.0,Cassius Faithfull,Silver,0.1,2.0,15.14,13.63,5.87
2023-01-03,30123019.0,Bar,Coconut Dream,4x,Card,1009769.0,Cassius Faithfull,Silver,0.1,2.0,19.26,17.33,6.97
2023-01-03,30123020.0,Bar,Ocean Mist,2x,Cash,,,,0.0,1.0,2.04,2.04,0.79
2023-01-03,30123021.0,Liquid,Coconut Dream,0.25L,Cash,1008008.0,Katha Mungane,Bronze,0.05,4.0,9.52,9.04,2.12
2023-01-03,30123022.0,Bar,Cedarwood Forest,1x,Cash,,,,0.0,2.0,4.36,4.36,2.14
2023-01-03,30123022.0,Bar,Cedarwood Forest,2x,Cash,,,,0.0,4.0,12.2,12.2,3.76
2023-01-03,30123022.0,Liquid,Eucalyptus Mint,0.5L,Cash,,,,0.0,4.999999999999999,44.4,44.4,21.85
2023-01-03,30123023.0,Bar,Cedarwood Forest,1x,Card,1007724.0,Granthem Hallitt,Silver,0.1,3.0,6.54,5.89,2.56
2023-01-03,30123023.0,Liquid,Eucalyptus Mint,0.25L,Card,1007724.0,Granthem Hallitt,Silver,0.1,4.0,18.0,16.2,7.12
2023-01-03,30123023.0,Liquid,Sandalwood Spice,0.25L,Card,1007724.0,Granthem Hallitt,Silver,0.1,5.0,21.25,19.12,6.87
2023-01-03,30123024.0,Liquid,Vanilla Bean,0.5L,Card,,,,0.0,3.0000000000000004,22.05,22.05,4.14
2023-01-03,30123025.0,Liquid,Citrus Breeze,0.25L,Card,,,,0.0,2.0,2.92,2.92,1.12
2023-01-03,30123025.0,Liquid,Cedarwood Forest,0.25L,Card,,,,0.0,4.0,6.24,6.24,0.92
2023-01-03,30123025.0,Liquid,Cedarwood Forest,1L,Card,,,,0.0,1.0,6.76,6.76,1.5
2023-01-03,30123026.0,Liquid,Lavender Fields,0.25L,Card,1001984.0,Erv Greenley,Bronze,0.05,4.0,9.2,8.74,2.74
2023-01-03,30123026.0,Liquid,Sandalwood Spice,0.5L,Card,1001984.0,Erv Greenley,Bronze,0.05,4.999999999999999,47.8,45.41,21.06
2023-01-03,30123027.0,Liquid,Eucalyptus Mint,0.25L,Cash,1003103.0,Linus Deighton,Silver,0.1,1.0,4.5,4.05,1.78
2023-01-03,30123027.0,Liquid,Sandalwood Spice,0.25L,Cash,1003103.0,Linus Deighton,Silver,0.1,4.0,17.0,15.3,5.5
2023-01-03,30123027.0,Liquid,Cedarwood Forest,0.25L,Cash,1003103.0,Linus Deighton,Silver,0.1,5.0,7.8,7.02,0.37
2023-01-03,30123028.0,Bar,Ocean Mist,1x,Card,1000533.0,Sterling Darco,Silver,0.1,3.0,3.6,3.24,1.26
2023-01-03,30123028.0,Bar,Vanilla Bean,2x,Card,1000533.0,Sterling Darco,Silver,0.1,2.9999999999999996,20.58,18.52,4.27
2023-01-03,30123029.0,Bar,Cedarwood Forest,2x,Cash,,,,0.0,4.0,12.2,12.2,3.76
2023-01-03,30123029.0,Liquid,Fresh Rain,0.25L,Cash,,,,0.0,4.0,5.72,5.72,1.2
2023-01-03,30123030.0,Bar,Lavender Fields,1x,Cash,1002213.0,Jodee Scurr,Gold,0.15,2.0,3.54,3.01,0.51
2023-01-03,30123030.0,Liquid,Fresh Rain,0.25L,Cash,1002213.0,Jodee Scurr,Gold,0.15,1.0,1.43,1.22,0.09
2023-01-03,30123030.0,Liquid,Eucalyptus Mint,1L,Cash,1002213.0,Jodee Scurr,Gold,0.15,2.0,26.54,22.56,4.64
2023-01-03,30123031.0,Bar,Citrus Breeze,2x,Card,1007402.0,Aurora Baxill,Gold,0.15,5.0,10.1,8.58,1.48
2023-01-03,30123031.0,Liquid,Eucalyptus Mint,1L,Card,1007402.0,Aurora Baxill,Gold,0.15,2.0,26.54,22.56,4.64
2023-01-03,30123032.0,Bar,Rose Garden,4x,Card,1007615.0,Sherill Pirouet,Silver,0.1,1.0,8.37,7.53,1.95
2023-01-03,30123032.0,Liquid,Ocean Mist,0.25L,Card,1007615.0,Sherill Pirouet,Silver,0.1,4.0,6.2,5.58,2.42
2023-01-03,30123032.0,Liquid,Vanilla Bean,0.25L,Card,1007615.0,Sherill Pirouet,Silver,0.1,3.0,13.83,12.45,3.45
2023-01-03,30123033.0,Bar,Citrus Breeze,2x,Cash,1000908.0,Alfie Jankowski,Silver,0.1,1.0,2.02,1.82,0.4
2023-01-03,30123033.0,Liquid,Fresh Rain,0.5L,Cash,1000908.0,Alfie Jankowski,Silver,0.1,3.0,6.75,6.08,-0.64
2023-01-03,30123034.0,Liquid,Citrus Breeze,0.25L,Card,1003663.0,Ashlen Montilla,Bronze,0.05,2.0,2.92,2.77,0.97
2023-01-03,30123034.0,Liquid,Fresh Rain,0.25L,Card,1003663.0,Ashlen Montilla,Bronze,0.05,4.0,5.72,5.43,0.91
2023-01-03,30123035.0,Bar,Sandalwood Spice,1x,Cash,1007448.0,Erinn Boggish,Gold,0.15,2.0,7.5,6.38,2.3
2023-01-03,30123036.0,Bar,Fresh Rain,4x,Cash,1005457.0,Shayna Kleinhaut,Bronze,0.05,1.0,4.28,4.07,0.69
2023-01-03,30123036.0,Liquid,Rose Garden,1L,Cash,1005457.0,Shayna Kleinhaut,Bronze,0.05,3.0,35.55,33.77,11.72
2023-01-03,30123037.0,Bar,Lavender Fields,1x,Card,1006265.0,Maryl O'riordan,Gold,0.15,5.0,8.85,7.52,1.27
2023-01-03,30123037.0,Bar,Ocean Mist,1x,Card,1006265.0,Maryl O'riordan,Gold,0.15,3.0,3.6,3.06,1.08
2023-01-03,30123037.0,Liquid,Sandalwood Spice,1L,Card,1006265.0,Maryl O'riordan,Gold,0.15,1.0,13.19,11.21,1.54
2023-01-03,30123038.0,Bar,Lavender Fields,1x,Card,,,,0.0,2.0,3.54,3.54,1.04
2023-01-03,30123039.0,Liquid,Lavender Fields,0.25L,Card,,,,0.0,2.0,4.6,4.6,1.6
2023-01-03,30123039.0,Liquid,Rose Garden,1L,Card,,,,0.0,5.0,59.25,59.25,22.5
2023-01-03,30123040.0,Bar,Cedarwood Forest,1x,Cash,1003741.0,Courtney Currom,Bronze,0.0,4.0,8.72,8.72,4.28
2023-01-03,30123040.0,Liquid,Eucalyptus Mint,0.5L,Cash,1003741.0,Courtney Currom,Bronze,0.0,3.0,26.64,26.64,13.11
2023-01-03,30123041.0,Bar,Rose Garden,2x,Cash,1008590.0,Dick Tincey,Silver,0.1,2.0,6.34,5.71,-0.19
2023-01-03,30123041.0,Liquid,Eucalyptus Mint,1L,Cash,1008590.0,Dick Tincey,Silver,0.1,2.0,26.54,23.89,5.97
2023-01-03,30123042.0,Liquid,Sandalwood Spice,0.25L,Card,,,,0.0,5.0,21.25,21.25,9.0
2023-01-03,30123042.0,Liquid,Citrus Breeze,0.5L,Card,,,,0.0,1.0,2.48,2.48,0.69
2023-01-03,30123042.0,Liquid,Lavender Fields,1L,Card,,,,0.0,3.0,24.27,24.27,6.48
2023-01-03,30123043.0,Bar,Rose Garden,1x,Cash,1004640.0,Romain Macdougal,Bronze,0.05,2.0,4.9,4.66,1.56
2023-01-03,30123043.0,Liquid,Lavender Fields,0.25L,Cash,1004640.0,Romain Macdougal,Bronze,0.05,1.0,2.3,2.18,0.68
2023-01-03,30123043.0,Liquid,Citrus Breeze,0.5L,Cash,1004640.0,Romain Macdougal,Bronze,0.05,2.0,4.96,4.71,1.13
2023-01-03,30123044.0,Bar,Vanilla Bean,4x,Card,,,,0.0,3.0,53.22,53.22,26.22
2023-01-03,30123044.0,Liquid,Ocean Mist,1L,Card,,,,0.0,4.0,18.36,18.36,5.84
2023-01-03,30123044.0,Liquid,Sandalwood Spice,1L,Card,,,,0.0,1.0,13.19,13.19,3.52
2023-01-03,30123045.0,Bar,Eucalyptus Mint,2x,Cash,1002733.0,Binny Kingswood,Silver,0.1,4.0,24.92,22.43,8.07
2023-01-03,30123046.0,Bar,Citrus Breeze,4x,Cash,,,,0.0,4.0,16.24,16.24,5.44
2023-01-03,30123046.0,Bar,Rose Garden,4x,Cash,,,,0.0,3.0,25.11,25.11,8.37
2023-01-03,30123046.0,Liquid,Eucalyptus Mint,1L,Cash,,,,0.0,5.0,66.35,66.35,21.55
2023-01-03,30123047.0,Bar,Lavender Fields,2x,Card,1003460.0,Christiana Albrook,Silver,0.1,3.0,7.23,6.51,-0.63
2023-01-03,30123047.0,Bar,Rose Garden,2x,Card,1003460.0,Christiana Albrook,Silver,0.1,4.0,12.68,11.41,-0.39
2023-01-03,30123048.0,Liquid,Coconut Dream,0.5L,Card,,,,0.0,3.0,12.36,12.36,2.04
2023-01-03,30123048.0,Liquid,Coconut Dream,0.5L,Card,,,,0.0,5.0,20.6,20.6,3.4
2023-01-03,30123049.0,Bar,Eucalyptus Mint,2x,Card,,,,0.0,4.999999999999999,31.15,31.15,13.2
2023-01-03,30123050.0,Bar,Rose Garden,4x,Card,1005128.0,Fransisco Cuttler,Silver,0.1,4.0,33.48,30.13,7.81
2023-01-03,30123051.0,Bar,Vanilla Bean,2x,Card,1002316.0,Dud Elstub,,0.0,2.0,13.72,13.72,4.22
2023-01-03,30123052.0,Bar,Lavender Fields,4x,Cash,,,,0.0,4.0,20.4,20.4,2.4
2023-01-03,30123052.0,Liquid,Vanilla Bean,0.5L,Cash,,,,0.0,2.0,14.7,14.7,2.76
2023-01-03,30123052.0,Liquid,Sandalwood Spice,1L,Cash,,,,0.0,2.0,26.38,26.38,7.04
2023-01-03,30123053.0,Bar,Eucalyptus Mint,1x,Cash,1006831.0,Maudie Croote,Silver,0.1,1.0,3.49,3.14,1.25
2023-01-03,30123053.0,Bar,Coconut Dream,1x,Cash,1006831.0,Maudie Croote,Silver,0.1,2.0,5.48,4.93,2.05
2023-01-03,30123053.0,Liquid,Ocean Mist,0.25L,Cash,1006831.0,Maudie Croote,Silver,0.1,3.0,4.65,4.19,1.82
